1,沪深300,000300,510300,100038, , , , , , , , , , , , , , , , , , ,
2,上证50,000016,510710,110003, , , , , , , , , , , , , , , , , , ,
3,上证红利,000015,510880, , , , , , , , , , , , , , , , , , , ,
4,恒生指数,HSI,159920,000071, , , , , , , , , , , , , , , , , , , 
5,中证500,000905,510580,161017, , , , , , , , , , , , , , , , , , ,
6,基本面50,000925,512750,160716, , , , , , , , , , , , , , , , , , ,
7,创业板,399006,159915,161022, , , , , , , , , , , , , , , , , , , 
8,上证180,000010,510180,040180, , , , , , , , , , , , , , , , , , ,
9,300价值,000919, ,519671, , , , , , , , , , , , , , , , , , ,
10,中证红利,000922, ,090010, , , , , , , , , , , , , , , , , , ,
11,深圳100,399330,159901,161227, , , , , , , , , , , , , , , , , , , 
12,深圳成指,399001,159943,163109, , , , , , , , , , , , , , , , , , , 
13,银行行业,399986,512800,001594, , , , , , , , , , , , , , , , , , , 
14,证券行业,399975,512000,006098, , , , , , , , , , , , , , , , , , , 
15,养老产业,399812, ,000968, , , , , , , , , , , , , , , , , , , 
16,中证消费,000932,159928,000248, , , , , , , , , , , , , , , , , , ,
17,房地产行业,399393, ,160218, , , , , , , , , , , , , , , , , , , 
18,中证白酒,399997, ,161725, , , , , , , , , , , , , , , , , , , 
19,中证军工,399967,512680,161024, , , , , , , , , , , , , , , , , , , 
20,环保行业,000827,512580,001064, , , , , , , , , , , , , , , , , , ,
21,医药100,000978, ,001550, ,,,,,,,,,,,,,,,,,,
